,importance,stddev,p_value,n,p99_high,p99_low
div_yield,0.0013024116708965083,0.0009736656840438681,0.02014818944691865,5,0.0033072027718327253,-0.0007023794300397086
acct_mom_log_mkvalt,0.0006783244869458694,0.00033185136950192735,0.005127833491863691,5,0.001361611043423694,-4.962069531955346e-06
fedfunds,0.0005492889207707518,0.00028149617190037935,0.006015580189688653,5,0.0011288934294041955,-3.0315587862691953e-05
expvol_log_mkvalt,0.00047883605883218826,0.0003430501190012689,0.017743629984443773,5,0.0011851809953123242,-0.00022750887764794772
roll_sd_5y_earn_yld,0.00046928852807397446,0.0003272608685135866,0.016348886391179145,5,0.0011431231795693392,-0.00020454612342139035
expmean_div_yield,0.00033794726931262175,0.00018498799182960373,0.007518408320522523,5,0.000718840101295537,-4.2945562670293404e-05
roll_min_3y_roic,0.00024741353740072026,0.00017640178595131658,0.017487561070043966,5,0.0006106272528062654,-0.0001158001780048248
roll_min_5y_earn_yld,0.00024000978825722274,0.0001477718088917088,0.011062261395468325,5,0.0005442739851887002,-6.425440867425467e-05
expvol_ocf_margin,0.00022204343202885112,0.0001269981406907364,0.008700301655207477,5,0.000483534359011919,-3.944749495421679e-05
altman_z2,0.00020638750348627165,0.00014940365578761347,0.018306293712349278,5,0.0005140116957309377,-0.00010123668875839444
roll_min_3y_earn_yld,0.0001721655223476004,0.00010341926998002516,0.010215350388909255,5,0.00038510722864268756,-4.077618394748676e-05
roll_sd_5y_log_mkvalt,0.00016919626805615983,0.00019675966392741344,0.06342917091543061,5,0.000574327135590264,-0.00023593459947794437
log_mkvalt,0.00016741965538931148,9.959555010652037e-05,0.009897557394347547,5,0.0003724882696154273,-3.764895883680432e-05
roll_sd_5y_roa,0.00014263247039907333,9.328496534795202e-05,0.013403101143217022,5,0.00033470750338574645,-4.944256258759976e-05
acct_mom_ocf_per_share,0.00013210398591712025,7.33926113114111e-05,0.00790046541820267,5,0.00028322038700100453,-1.9012415166764032e-05
ocf_per_share,0.00012975149500524808,0.00027291687618629263,0.17383232182484604,5,0.0006916911151849191,-0.00043218812517442304
roll_mean_5y_ocf_per_share,0.0001273149745736557,0.00016095963614612754,0.0758370942681422,5,0.00045873309009712454,-0.00020410314094981312
roll_sd_3y_roa,0.00012518920815842715,0.00019570762700904905,0.11292390150181147,5,0.0005281539171369237,-0.0002777755008200693
