model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge_FULL,0.9998572554493298,,average_precision,0.7533354759216309,,164.07695364952087,0.7533354759216309,,164.07695364952087,1,True,23
WeightedEnsemble_L2_FULL,0.9993776651645109,,average_precision,1.6245524883270264,,445.2547616958618,0.033597707748413086,,0.8209471702575684,2,True,24
RandomForestEntr_FULL,0.991342083150517,,average_precision,0.3562765121459961,,175.2027144432068,0.3562765121459961,,175.2027144432068,1,True,16
LightGBMXT_FULL,0.9877345324132001,,average_precision,0.42414093017578125,,62.42624807357788,0.42414093017578125,,62.42624807357788,1,True,13
ExtraTreesEntr_FULL,0.985009284592375,,average_precision,0.415236234664917,,18.16967248916626,0.415236234664917,,18.16967248916626,1,True,19
ExtraTreesGini_FULL,0.9847767002404738,,average_precision,0.4044041633605957,,19.082469701766968,0.4044041633605957,,19.082469701766968,1,True,18
RandomForestGini_FULL,0.9536313808926262,,average_precision,0.3577117919921875,,138.6712725162506,0.3577117919921875,,138.6712725162506,1,True,15
XGBoost_FULL,0.9219588270648805,,average_precision,0.3678152561187744,,25.9666645526886,0.3678152561187744,,25.9666645526886,1,True,21
LightGBM_FULL,0.8912805903436238,,average_precision,0.16700005531311035,,23.574166536331177,0.16700005531311035,,23.574166536331177,1,True,14
CatBoost_FULL,0.829769895346711,,average_precision,0.05576658248901367,,79.25934028625488,0.05576658248901367,,79.25934028625488,1,True,17
NeuralNetTorch_FULL,0.6632793080361531,,average_precision,0.23767709732055664,,13.71662950515747,0.23767709732055664,,13.71662950515747,1,True,22
NeuralNetFastAI_FULL,0.6525489351143527,,average_precision,0.4297964572906494,,18.839123725891113,0.4297964572906494,,18.839123725891113,1,True,20
WeightedEnsemble_L2,0.6193640795601488,0.6193640795601488,average_precision,1.5301008224487305,1.3230268955230713,533.3396503925323,0.010156393051147461,0.0031833648681640625,0.8209471702575684,2,True,12
LightGBMLarge,0.6171608830206211,0.6171608830206211,average_precision,0.7895057201385498,0.6157753467559814,215.27158117294312,0.7895057201385498,0.6157753467559814,215.27158117294312,1,True,11
CatBoost,0.6077482460145314,0.6077482460145314,average_precision,0.04454493522644043,0.06415724754333496,101.88034892082214,0.04454493522644043,0.06415724754333496,101.88034892082214,1,True,5
LightGBM,0.6052923128924947,0.6052923128924947,average_precision,0.16002798080444336,0.11638283729553223,37.60517334938049,0.16002798080444336,0.11638283729553223,37.60517334938049,1,True,2
LightGBMXT,0.6038718830768481,0.6038718830768481,average_precision,0.3552696704864502,0.3947570323944092,101.72355937957764,0.3552696704864502,0.3947570323944092,101.72355937957764,1,True,1
RandomForestEntr,0.6010335800341792,0.6010335800341792,average_precision,0.3374149799346924,0.29976367950439453,143.264892578125,0.3374149799346924,0.29976367950439453,143.264892578125,1,True,4
RandomForestGini,0.5994789917952579,0.5994789917952579,average_precision,0.3306241035461426,0.24515390396118164,113.64321374893188,0.3306241035461426,0.24515390396118164,113.64321374893188,1,True,3
XGBoost,0.587749834278177,0.5877498342781768,average_precision,0.3724696636199951,0.32795119285583496,39.24712252616882,0.3724696636199951,0.32795119285583496,39.24712252616882,1,True,9
ExtraTreesGini,0.5823345784228714,0.5823345784228714,average_precision,0.3567488193511963,0.34127187728881836,15.017902851104736,0.3567488193511963,0.34127187728881836,15.017902851104736,1,True,6
ExtraTreesEntr,0.5817282296038893,0.5817282296038893,average_precision,0.3847622871398926,0.32849740982055664,14.57273268699646,0.3847622871398926,0.32849740982055664,14.57273268699646,1,True,7
NeuralNetTorch,0.5562730694525498,0.5562730694525498,average_precision,0.26113462448120117,0.21997714042663574,61.46396803855896,0.26113462448120117,0.21997714042663574,61.46396803855896,1,True,10
NeuralNetFastAI,0.5287249639396538,0.5287249639396538,average_precision,0.41409897804260254,0.378983736038208,84.59529876708984,0.41409897804260254,0.378983736038208,84.59529876708984,1,True,8
