,importance,stddev,p_value,n,p99_high,p99_low
z7,0.33582911496952333,0.029830185659690193,7.392250816668189e-06,5,0.3972498795398064,0.2744083503992403
z2,0.11222999055851637,0.007838131584231887,2.836459464406933e-06,5,0.12836881182494111,0.09609116929209162
z9,0.10337133920534847,0.015838008769570866,6.410775395171871e-05,5,0.13598201816643923,0.07076066024425769
z5,0.09720962808098015,0.00976384987495931,1.2050613738447994e-05,5,0.11731352992426797,0.07710572623769232
z17,0.08629211356163138,0.005784046839643023,2.407835828244973e-06,5,0.09820154594847941,0.07438268117478336
z1,0.06290341677992808,0.005614032158428073,7.5333047816183525e-06,5,0.07446278658830191,0.05134404697155425
vae_recon_error,0.061189095530973445,0.004873020120715642,4.786457949727453e-06,5,0.0712227113118226,0.051155479750124286
z24,0.05228258763648856,0.004164649776006988,4.7907286517646255e-06,5,0.060857659086863976,0.04370751618611315
z14,0.05172152877947038,0.004846470785152785,9.143889300772108e-06,5,0.06170047911144481,0.04174257844749595
z19,0.05112693407164246,0.007386694026841084,5.086173986185737e-05,5,0.06633623916786943,0.0359176289754155
z20,0.0478285699630824,0.009345965933550093,0.00016639311027626905,5,0.06707204299523878,0.028585096930926018
z15,0.046783275747973384,0.007315821080929424,6.94771422883871e-05,5,0.06184665246900003,0.03171989902694674
z3,0.046162542986566635,0.0031828180028770016,2.694770723268888e-06,5,0.05271600924571017,0.0396090767274231
z13,0.04591425660956794,0.004684671697318192,1.2826359441735735e-05,5,0.05556006038338989,0.036268452835745986
z23,0.03778302983532085,0.008283954964078943,0.00026038115517632314,5,0.05483980760278463,0.020726252067857068
z12,0.03719916432333794,0.006338189316603288,9.733810251627468e-05,5,0.05024958372931012,0.02414874491736576
z16,0.03701128973036625,0.0040827918546502175,1.7484755366850108e-05,5,0.04541781458927136,0.028604764871461137
z6,0.03566277430365641,0.002253847978534308,1.90418849516854e-06,5,0.040303478442948105,0.031022070164364708
z11,0.034934905846847844,0.004884403018861102,4.468413704983466e-05,5,0.04499195917230688,0.024877852521388806
z10,0.03252238717261931,0.007884918507411668,0.0003840143488481465,5,0.04875754336053523,0.016287230984703388
z18,0.032199434052753405,0.0035556540609374674,1.7556506498910382e-05,5,0.03952057490858538,0.024878293196921423
z4,0.031022684835387327,0.006207657171477368,0.0001825313782819863,5,0.04380433675039927,0.018241032920375388
z22,0.028076025817478034,0.006047901862677077,0.00024313904151291636,5,0.04052873934361716,0.015623312291338913
z8,0.02626174633683187,0.0032929219649461576,2.9051119982161322e-05,5,0.03304191817567427,0.019481574497989467
z21,0.022801012726570535,0.0029182165968484578,3.1507110203568264e-05,5,0.02880966103352121,0.01679236441961986
