model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.9975317232409808,,average_precision,0.38127636909484863,,69.06949281692505,0.38127636909484863,,69.06949281692505,1,True,16
RandomForestGini_FULL,0.9945471601407414,,average_precision,0.3821282386779785,,51.110294342041016,0.3821282386779785,,51.110294342041016,1,True,15
ExtraTreesGini_FULL,0.9773923412469105,,average_precision,0.4083559513092041,,11.30346131324768,0.4083559513092041,,11.30346131324768,1,True,18
ExtraTreesEntr_FULL,0.9639784385856186,,average_precision,0.3985917568206787,,8.960722923278809,0.3985917568206787,,8.960722923278809,1,True,19
LightGBMLarge_FULL,0.9063334954371686,,average_precision,0.14605951309204102,,3.351644277572632,0.14605951309204102,,3.351644277572632,1,True,23
LightGBMXT_FULL,0.8239135213016592,,average_precision,0.3096349239349365,,8.258042335510254,0.3096349239349365,,8.258042335510254,1,True,13
XGBoost_FULL,0.7731350415498653,,average_precision,0.05627727508544922,,2.3264682292938232,0.05627727508544922,,2.3264682292938232,1,True,21
CatBoost_FULL,0.7652125385886623,,average_precision,0.0937187671661377,,23.038503170013428,0.0937187671661377,,23.038503170013428,1,True,17
WeightedEnsemble_L2_FULL,0.7647866451945633,,average_precision,1.1698887348175049,,89.64648056030273,0.026666879653930664,,0.9157931804656982,2,True,24
LightGBM_FULL,0.6902932023697032,,average_precision,0.0989384651184082,,1.706031322479248,0.0989384651184082,,1.706031322479248,1,True,14
NeuralNetTorch_FULL,0.6738929037128019,,average_precision,0.08243083953857422,,36.73097634315491,0.08243083953857422,,36.73097634315491,1,True,22
WeightedEnsemble_L2,0.5689694606069318,0.5689694606069318,average_precision,0.7832589149475098,1.0062503814697266,226.1782066822052,0.005530595779418945,0.0030167102813720703,0.9157931804656982,2,True,12
NeuralNetFastAI_FULL,0.5645149821644599,,average_precision,0.6011600494384766,,18.376697301864624,0.6011600494384766,,18.376697301864624,1,True,20
LightGBMXT,0.5560429777778831,0.5560429777778831,average_precision,0.2806856632232666,0.6450290679931641,22.942115545272827,0.2806856632232666,0.6450290679931641,22.942115545272827,1,True,1
NeuralNetTorch,0.5513206205014279,0.5513206205014279,average_precision,0.07092881202697754,0.04290890693664551,94.53161454200745,0.07092881202697754,0.04290890693664551,94.53161454200745,1,True,10
CatBoost,0.5490502416338554,0.5490502416338554,average_precision,0.042489051818847656,0.018358707427978516,29.818771839141846,0.042489051818847656,0.018358707427978516,29.818771839141846,1,True,5
LightGBM,0.5388220663137986,0.5388220663137986,average_precision,0.06837582588195801,0.0453338623046875,4.347356557846069,0.06837582588195801,0.0453338623046875,4.347356557846069,1,True,2
XGBoost,0.5365828493977206,0.5365829010293883,average_precision,0.06558561325073242,0.04465532302856445,5.119748830795288,0.06558561325073242,0.04465532302856445,5.119748830795288,1,True,9
LightGBMLarge,0.5340487090711697,0.5340487090711697,average_precision,0.13294386863708496,0.075103759765625,6.258269786834717,0.13294386863708496,0.075103759765625,6.258269786834717,1,True,11
NeuralNetFastAI,0.533130931314091,0.533130931314091,average_precision,0.3180391788482666,0.25228166580200195,72.8501627445221,0.3180391788482666,0.25228166580200195,72.8501627445221,1,True,8
ExtraTreesEntr,0.5152544481651169,0.5152544481651169,average_precision,0.3828878402709961,0.24704265594482422,10.520362138748169,0.3828878402709961,0.24704265594482422,10.520362138748169,1,True,7
RandomForestEntr,0.5134911266709532,0.5134911266709532,average_precision,0.28348350524902344,0.3648359775543213,61.895623207092285,0.28348350524902344,0.3648359775543213,61.895623207092285,1,True,4
ExtraTreesGini,0.5109549926753464,0.5109549926753464,average_precision,0.34106874465942383,0.24634480476379395,5.6412458419799805,0.34106874465942383,0.24634480476379395,5.6412458419799805,1,True,6
RandomForestGini,0.5061639469746209,0.5061639469746209,average_precision,0.3727381229400635,0.1698601245880127,50.70791792869568,0.3727381229400635,0.1698601245880127,50.70791792869568,1,True,3
