,importance,stddev,p_value,n,p99_high,p99_low
z9,0.37996057491320334,0.018476678117317263,6.688898849903538e-07,5,0.4180043105315901,0.3419168392948166
z23,0.09903928545835297,0.0101045421058081,1.2823724177562207e-05,5,0.1198446773138255,0.07823389360288044
vae_recon_error,0.095335863471979,0.008382144078555134,7.097630892461844e-06,5,0.11259481398326705,0.07807691296069096
z20,0.08713156202176457,0.009008219398889676,1.351670596258084e-05,5,0.10567961027090196,0.06858351377262718
z12,0.08498151636041347,0.005531709887231132,2.142255963369261e-06,5,0.0963713834745781,0.07359164924624884
z14,0.06443462099516033,0.007514003719904433,2.1794953015270122e-05,5,0.07990605850901168,0.04896318348130897
z10,0.06237541485279045,0.00802259678587364,3.21268696863881e-05,5,0.0788940525189756,0.0458567771866053
z21,0.05984880551212388,0.00806715187270811,3.867158078251568e-05,5,0.07645918271791796,0.04323842830632981
z7,0.05255804066088059,0.007870645770953533,5.858557311129606e-05,5,0.06876380908715903,0.03635227223460215
z4,0.04613505062528962,0.005540752056823021,2.4492086564697513e-05,5,0.05754353569162001,0.034726565558959234
z15,0.04606505750573753,0.003653035223850772,4.706276123257145e-06,5,0.05358670752195871,0.038543407489516346
z24,0.04440049801152093,0.0013150130902502785,9.222367433348517e-08,5,0.047108128139758676,0.04169286788328318
z22,0.044393710460813175,0.0017116171624362217,2.6464378719224074e-07,5,0.047917953855332596,0.040869467066293755
z5,0.041972058226883324,0.003624955124844934,6.6106440819614485e-06,5,0.04943589093114328,0.03450822552262337
z2,0.038954511430798866,0.0062508659874409185,7.690344933348172e-05,5,0.051825130895089055,0.026083891966508673
z18,0.036063989833372515,0.005824705703421933,7.88907390208325e-05,5,0.04805713938270654,0.02407084028403849
z17,0.033538843402923034,0.003403017866953997,1.2546070970170929e-05,5,0.04054570422568665,0.026531982580159413
z6,0.032285071555026267,0.005535946454711304,9.979415691346298e-05,5,0.04368366182018815,0.02088648128986438
z11,0.03099396766085476,0.004485235234182483,5.118976514744601e-05,5,0.04022912900057543,0.02175880632113409
z3,0.030576804097492593,0.0052808010879509286,0.00010264427680795392,5,0.041450046526011135,0.01970356166897405
z13,0.030537192151033565,0.002655719487246332,6.795583293215404e-06,5,0.03600535528121785,0.02506902902084928
z19,0.028241320481523037,0.0036945907292558052,3.43606015763416e-05,5,0.035848533857731305,0.02063410710531477
z8,0.027820569998909583,0.002971869390859695,1.53906533770518e-05,5,0.03393969015028982,0.02170144984752935
z16,0.024176802977863864,0.0023810889893703716,1.1145316512503263e-05,5,0.02907949811712468,0.019274107838603047
z1,0.020973320338992973,0.002785130952983852,3.64545790196562e-05,5,0.026707943465787348,0.015238697212198598
