model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.996784480330498,,average_precision,0.323728084564209,,60.68177127838135,0.323728084564209,,60.68177127838135,1,True,16
RandomForestGini_FULL,0.9898213716551736,,average_precision,0.35164809226989746,,46.12287354469299,0.35164809226989746,,46.12287354469299,1,True,15
ExtraTreesGini_FULL,0.9762492200919731,,average_precision,0.35884690284729004,,5.963335037231445,0.35884690284729004,,5.963335037231445,1,True,18
ExtraTreesEntr_FULL,0.9610666359797034,,average_precision,0.3697504997253418,,6.1532676219940186,0.3697504997253418,,6.1532676219940186,1,True,19
LightGBMLarge_FULL,0.9208056365451603,,average_precision,0.16506648063659668,,3.5864827632904053,0.16506648063659668,,3.5864827632904053,1,True,23
WeightedEnsemble_L2_FULL,0.7742757932303611,,average_precision,1.1621363162994385,,59.457191944122314,0.0356137752532959,,0.8427586555480957,2,True,24
LightGBMXT_FULL,0.7557800566161949,,average_precision,0.20043039321899414,,4.0594422817230225,0.20043039321899414,,4.0594422817230225,1,True,13
XGBoost_FULL,0.7504802467469529,,average_precision,0.0708463191986084,,2.4742352962493896,0.0708463191986084,,2.4742352962493896,1,True,21
CatBoost_FULL,0.7131338862907982,,average_precision,0.05936908721923828,,16.481203317642212,0.05936908721923828,,16.481203317642212,1,True,17
LightGBM_FULL,0.6563943431947553,,average_precision,0.10131311416625977,,1.4411845207214355,0.10131311416625977,,1.4411845207214355,1,True,14
NeuralNetTorch_FULL,0.5703102271496459,,average_precision,0.09302926063537598,,15.478163003921509,0.09302926063537598,,15.478163003921509,1,True,22
NeuralNetFastAI_FULL,0.563166525363351,,average_precision,0.30914950370788574,,29.527010202407837,0.30914950370788574,,29.527010202407837,1,True,20
WeightedEnsemble_L2,0.5316758524301832,0.5316758524301832,average_precision,0.9352538585662842,0.6718831062316895,157.23779368400574,0.005088329315185547,0.0030035972595214844,0.8427586555480957,2,True,12
LightGBMXT,0.5217841487187578,0.5217841487187578,average_precision,0.1538703441619873,0.1277785301208496,11.38366961479187,0.1538703441619873,0.1277785301208496,11.38366961479187,1,True,1
LightGBMLarge,0.5165699932322074,0.5165699932322074,average_precision,0.13928008079528809,0.11299729347229004,7.253104209899902,0.13928008079528809,0.11299729347229004,7.253104209899902,1,True,11
NeuralNetTorch,0.5161278205931753,0.5161278205931753,average_precision,0.06101393699645996,0.05133342742919922,56.09381294250488,0.06101393699645996,0.05133342742919922,56.09381294250488,1,True,10
CatBoost,0.5113417998433303,0.5113417998433303,average_precision,0.045163869857788086,0.011384248733520508,19.01112937927246,0.045163869857788086,0.011384248733520508,19.01112937927246,1,True,5
LightGBM,0.5082544353370363,0.5082544353370363,average_precision,0.04904603958129883,0.0390777587890625,3.08459210395813,0.04904603958129883,0.0390777587890625,3.08459210395813,1,True,2
NeuralNetFastAI,0.5064576453827088,0.5064576453827088,average_precision,0.2370610237121582,0.17763614654541016,76.76703095436096,0.2370610237121582,0.17763614654541016,76.76703095436096,1,True,8
XGBoost,0.5036035469836815,0.5036035469836815,average_precision,0.05681872367858887,0.04365801811218262,3.7159225940704346,0.05681872367858887,0.04365801811218262,3.7159225940704346,1,True,9
ExtraTreesGini,0.5002780124051369,0.5002780124051369,average_precision,0.3389401435852051,0.19913411140441895,4.897417306900024,0.3389401435852051,0.19913411140441895,4.897417306900024,1,True,6
RandomForestEntr,0.4992954127776666,0.4992954127776666,average_precision,0.2901773452758789,0.2161257266998291,49.19008183479309,0.2901773452758789,0.2161257266998291,49.19008183479309,1,True,4
ExtraTreesEntr,0.49190492558803767,0.49190492558803767,average_precision,0.3115837574005127,0.2170705795288086,5.193549156188965,0.3115837574005127,0.2170705795288086,5.193549156188965,1,True,7
RandomForestGini,0.4908554455606593,0.4908554455606593,average_precision,0.38274669647216797,0.20035028457641602,38.319239139556885,0.38274669647216797,0.20035028457641602,38.319239139556885,1,True,3
