,importance,stddev,p_value,n,p99_high,p99_low
z7,0.36098332196315236,0.027981075617316796,4.297532011332901e-06,5,0.41859674339877184,0.3033699005275329
z2,0.11233011810111578,0.008725450676915793,4.333731935375135e-06,5,0.13029594164342986,0.09436429455880169
z9,0.10584581672960851,0.013022348756010264,2.6948162176631906e-05,5,0.13265901280622094,0.07903262065299609
z5,0.08098939538141407,0.011256513389353549,4.364959320071537e-05,5,0.10416671203164185,0.05781207873118629
z1,0.06640688885616404,0.0047296279165767365,3.0669379730928338e-06,5,0.07614525810680031,0.05666851960552776
vae_recon_error,0.06286708201381441,0.006598150567467297,1.4349116661463741e-05,5,0.07645276522836192,0.049281398799266914
z17,0.06285756171987993,0.00457636904225787,3.347897276239615e-06,5,0.0722803688300309,0.05343475460972895
z20,0.06246020604296558,0.009987843236407085,7.585617505863172e-05,5,0.08302531331339164,0.041895098772539524
z15,0.05135749449237588,0.006388844884590176,2.815444474495682e-05,5,0.06451221441296742,0.038202774571784344
z19,0.05007133809965503,0.005564657174720001,1.8007766596939596e-05,5,0.06152904413413914,0.03861363206517091
z14,0.04866304784156013,0.00625061291503043,3.195808076886805e-05,5,0.06153314622625929,0.03579294945686096
z13,0.043583147064311656,0.0037403275540370054,6.446033777156501e-06,5,0.05128453319489451,0.0358817609337288
z24,0.04105349954289097,0.002627690198672566,2.0031273717106604e-06,5,0.04646394998049593,0.035643049105286005
z3,0.03943064918365391,0.003977469863943438,1.225755649989158e-05,5,0.047620314607989156,0.031240983759318667
z23,0.035980383573047225,0.004921806378241834,4.098810760294544e-05,5,0.04611445093244056,0.025846316213653898
z12,0.03151087988754453,0.005362792425498759,9.689794166826254e-05,5,0.04255294361331477,0.02046881616177429
z16,0.030503565054433347,0.000847520698236848,7.143864644692207e-08,5,0.03224862188608392,0.028758508222782773
z21,0.030369343411222594,0.004112214866579574,3.937310767953469e-05,5,0.03883645065835949,0.021902236164085695
z10,0.03023502151923547,0.00858659007661941,0.0007032437458989926,5,0.047914929166281844,0.012555113872189095
z11,0.029158108051960972,0.002694523200357399,8.65252146298702e-06,5,0.03470616856376525,0.023610047540156692
z6,0.028338218086441547,0.0027795507580427926,1.0965767882254179e-05,5,0.03406135151472579,0.0226150846581573
z4,0.0270638332611018,0.005261377727398835,0.00016309776988205078,5,0.03789708272178421,0.01623058380041939
z22,0.026140568809398256,0.00406317092545162,6.784522062779143e-05,5,0.034506693903893396,0.017774443714903117
z18,0.02558172195256936,0.001117040181718472,4.3514505878729086e-07,5,0.027881723125863733,0.023281720779274984
z8,0.020166745255104958,0.002975699458137526,5.527016783526021e-05,5,0.0262937515679474,0.014039738942262516
