,importance,stddev,p_value,n,p99_high,p99_low
year_cat,0.006296671427904821,0.0012021184689329745,0.0001519532796756512,5,0.008771849970480751,0.003821492885328891
div_yield,0.0003110309432381442,0.00017266041674048128,0.007879432521438006,5,0.0006665411277273616,-4.447924125107315e-05
rd_intensity,0.0001776640048865241,9.245502284976168e-05,0.006338405842639649,5,0.00036803017479839894,-1.2702165025350713e-05
roll_trend_5y_log_at,0.00011940438172841628,4.1625506268845255e-05,0.0015179234559816548,5,0.00020511187446160565,3.3696888995226904e-05
capex_intensity,0.00010201571782049168,2.4492259663009924e-05,0.00036980035792091913,5,0.00015244561898563236,5.158581665535099e-05
log_mkvalt,9.697221784084053e-05,3.8305031815483475e-05,0.0024002857004354924,5,0.00017584280778072388,1.810162790095719e-05
acct_mom_log_mkvalt,9.485299915463763e-05,3.822708345981962e-05,0.0025811438629805335,5,0.00017356309235284833,1.6142905956426925e-05
log_at,8.379810275827015e-05,3.677349052442833e-05,0.003502338624778087,5,0.00015951522801172077,8.080977504819551e-06
rental_ratio,8.306746110910978e-05,8.621838037255727e-05,0.048752393878695344,5,0.0002605922979608612,-9.445737574264164e-05
roll_min_5y_log_at,8.194735819722077e-05,4.8727893543613676e-05,0.009883404122780798,5,0.00018227876449458257,-1.838404810014105e-05
expmean_log_at,8.040050766182638e-05,4.064099758592327e-05,0.005739237259138342,5,0.0001640808834095233,-3.279868085870555e-06
roll_sd_5y_log_mkvalt,7.526579942558342e-05,8.459621429329605e-05,0.05876265912413264,5,0.00024945057389941813,-9.891897504825128e-05
bp_ratio,7.338852923959305e-05,5.548351681500059e-05,0.02082541348903975,5,0.00018762985722537692,-4.0852798746190806e-05
roll_min_5y_earn_yld,5.930905457705027e-05,3.501999961998924e-05,0.009659782578161732,5,0.00013141571782244093,-1.2797608668340393e-05
roll_sd_5y_log_at,5.6258204274883815e-05,1.3813196710115424e-05,0.00040316938908363807,5,8.46997672196791e-05,2.781664133008853e-05
ni_per_emp,5.44196877712233e-05,5.972289188653165e-05,0.055628929789186134,5,0.00017738994762368,-6.855057208123342e-05
expvol_accruals_ratio,5.361060830084696e-05,7.055888022354206e-05,0.08227734776887592,5,0.000198892317908483,-9.167110130678907e-05
roll_min_3y_gross_margin,5.099801526842196e-05,3.9389949377741906e-05,0.022169254432236944,5,0.0001321024654641497,-3.0106434927305758e-05
dd1_ratio,4.790199417592511e-05,2.104188901757382e-05,0.0035146907464240597,5,9.122753449292256e-05,4.576453858927659e-06
expvol_ebit_roa,4.785797334108111e-05,5.2826615486550844e-05,0.05637824015961395,5,0.0001566287047693081,-6.091275808714588e-05
roll_max_3y_log_mkvalt,4.561653309320679e-05,1.2144319870636252e-05,0.0005498176273663901,5,7.062185555918527e-05,2.061121062722832e-05
roll_min_5y_ocf_per_share,4.4947896867197914e-05,2.825293699561483e-05,0.011820707204978527,5,0.0001031210846382566,-1.322529090386077e-05
roll_trend_5y_net_debt_ebitda,4.417612970468721e-05,3.189974830912279e-05,0.018170339057084203,5,0.00010985815237454764,-2.1505892965173218e-05
roll_max_5y_roa,4.3517679288784805e-05,2.518524903234292e-05,0.009045013493679721,5,9.537445514351309e-05,-8.339096565943483e-06
roll_min_5y_net_debt_ebitda,4.3081385290988373e-05,3.4595592954389565e-05,0.02479384760351374,5,0.0001143141893459858,-2.8151418764009053e-05
roll_min_3y_log_mkvalt,4.218974642926643e-05,4.026350237698496e-05,0.03955728195646626,5,0.00012509285432422114,-4.0713361465688274e-05
expmean_wcap_ratio,4.083420271139282e-05,6.564016974406516e-05,0.11829682200247692,5,0.0001759882194579824,-9.431981403519677e-05
expvol_roe,3.969936819190334e-05,3.704365202954872e-05,0.03732465724287299,5,0.00011597275971842564,-3.657402333461897e-05
roll_trend_3y_earn_yld,3.8557523712734465e-05,3.304817809458112e-05,0.029746387274619004,5,0.00010660417918384007,-2.9489131758371142e-05
log_emp,3.748604717352943e-05,7.336670350211893e-05,0.15849379260038848,5,0.00018854910371999715,-0.0001135770093729383
roll_sd_5y_roa,3.7352389045897105e-05,3.33640218224489e-05,0.03326330318923492,5,0.0001060493711181067,-3.1344593026312495e-05
