model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_FULL,0.9999320843514452,,average_precision,0.4287905693054199,,185.3838334083557,0.4287905693054199,,185.3838334083557,1,True,21
LightGBM_FULL,0.9999303173749577,,average_precision,0.46358752250671387,,102.48938536643982,0.46358752250671387,,102.48938536643982,1,True,14
WeightedEnsemble_L2_FULL,0.9993890315237103,,average_precision,1.015770673751831,,483.8818817138672,0.0032188892364501953,,0.7194178104400635,2,True,24
CatBoost_FULL,0.9952752219612321,,average_precision,0.08248543739318848,,184.39214062690735,0.08248543739318848,,184.39214062690735,1,True,17
RandomForestEntr_FULL,0.9905427233038118,,average_precision,0.21467018127441406,,33.761444091796875,0.21467018127441406,,33.761444091796875,1,True,16
RandomForestGini_FULL,0.9844978490444246,,average_precision,0.2041492462158203,,29.284367084503174,0.2041492462158203,,29.284367084503174,1,True,15
ExtraTreesGini_FULL,0.9839781330765107,,average_precision,0.2300567626953125,,5.478750944137573,0.2300567626953125,,5.478750944137573,1,True,18
ExtraTreesEntr_FULL,0.9812558674299043,,average_precision,0.3159482479095459,,6.1715922355651855,0.3159482479095459,,6.1715922355651855,1,True,19
LightGBMLarge_FULL,0.9309581654093779,,average_precision,0.037688255310058594,,10.897104501724243,0.037688255310058594,,10.897104501724243,1,True,23
LightGBMXT_FULL,0.9081943246613885,,average_precision,0.0501713752746582,,13.025839805603027,0.0501713752746582,,13.025839805603027,1,True,13
NeuralNetFastAI_FULL,0.6676005536740284,,average_precision,0.26062536239624023,,14.100366830825806,0.26062536239624023,,14.100366830825806,1,True,20
NeuralNetTorch_FULL,0.6272741453407675,,average_precision,0.1406083106994629,,11.186661720275879,0.1406083106994629,,11.186661720275879,1,True,22
WeightedEnsemble_L2,0.5590570438520248,0.5590570438520248,average_precision,1.2083568572998047,1.0713520050048828,767.6827199459076,0.003113985061645508,0.003052234649658203,0.7194178104400635,2,True,12
LightGBM,0.5454736243479581,0.5454736243479581,average_precision,0.5948803424835205,0.5382287502288818,152.22026419639587,0.5948803424835205,0.5382287502288818,152.22026419639587,1,True,2
LightGBMLarge,0.5436873997322942,0.5436873997322942,average_precision,0.03449273109436035,0.038053035736083984,13.542918920516968,0.03449273109436035,0.038053035736083984,13.542918920516968,1,True,11
CatBoost,0.5380968127853557,0.5380968127853557,average_precision,0.09418416023254395,0.05808401107788086,223.67254376411438,0.09418416023254395,0.05808401107788086,223.67254376411438,1,True,5
LightGBMXT,0.5352785937127096,0.5352785937127096,average_precision,0.08268547058105469,0.053872108459472656,16.6471688747406,0.08268547058105469,0.053872108459472656,16.6471688747406,1,True,1
XGBoost,0.52699798463462,0.52699798463462,average_precision,0.4816856384277344,0.43393397331237793,377.5275752544403,0.4816856384277344,0.43393397331237793,377.5275752544403,1,True,9
RandomForestGini,0.5218220440298338,0.5218220440298338,average_precision,0.20770645141601562,0.18976426124572754,22.448580265045166,0.20770645141601562,0.18976426124572754,22.448580265045166,1,True,3
RandomForestEntr,0.5196240208668129,0.5196240208668129,average_precision,0.24695348739624023,0.1840198040008545,26.303150177001953,0.24695348739624023,0.1840198040008545,26.303150177001953,1,True,4
ExtraTreesEntr,0.515773611331966,0.515773611331966,average_precision,0.2937443256378174,0.1524496078491211,4.181070566177368,0.2937443256378174,0.1524496078491211,4.181070566177368,1,True,7
ExtraTreesGini,0.5155238939454246,0.5155238939454246,average_precision,0.24760937690734863,0.14419102668762207,4.544057130813599,0.24760937690734863,0.14419102668762207,4.544057130813599,1,True,6
NeuralNetFastAI,0.475483689499965,0.475483689499965,average_precision,0.2885141372680664,0.3771178722381592,61.43976616859436,0.2885141372680664,0.3771178722381592,61.43976616859436,1,True,8
NeuralNetTorch,0.45531451353993846,0.45531451353993846,average_precision,0.16319537162780762,0.16810941696166992,58.29799437522888,0.16319537162780762,0.16810941696166992,58.29799437522888,1,True,10
