model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.9941949225896745,,average_precision,0.17921900749206543,,11.29903507232666,0.17921900749206543,,11.29903507232666,1,True,16
RandomForestGini_FULL,0.9938257063470642,,average_precision,0.17983031272888184,,9.034995555877686,0.17983031272888184,,9.034995555877686,1,True,15
ExtraTreesGini_FULL,0.987644799121109,,average_precision,0.2552766799926758,,1.2600431442260742,0.2552766799926758,,1.2600431442260742,1,True,18
ExtraTreesEntr_FULL,0.9817561847043769,,average_precision,0.3640460968017578,,1.2498869895935059,0.3640460968017578,,1.2498869895935059,1,True,19
WeightedEnsemble_L2_FULL,0.899373864714185,,average_precision,0.547325849533081,,46.55578136444092,0.002683877944946289,,0.7247989177703857,2,True,24
LightGBMLarge_FULL,0.7077898671761504,,average_precision,0.014806509017944336,,2.3777167797088623,0.014806509017944336,,2.3777167797088623,1,True,23
XGBoost_FULL,0.6333289197901126,,average_precision,0.026337385177612305,,0.7016513347625732,0.026337385177612305,,0.7016513347625732,1,True,21
CatBoost_FULL,0.629130924091649,,average_precision,0.013429880142211914,,10.896668672561646,0.013429880142211914,,10.896668672561646,1,True,17
NeuralNetFastAI_FULL,0.6030543162495543,,average_precision,0.1796586513519287,,23.816246509552002,0.1796586513519287,,23.816246509552002,1,True,20
LightGBMXT_FULL,0.5855182851298238,,average_precision,0.012476921081542969,,1.366671085357666,0.012476921081542969,,1.366671085357666,1,True,13
LightGBM_FULL,0.5670591711365089,,average_precision,0.005934000015258789,,1.6807053089141846,0.005934000015258789,,1.6807053089141846,1,True,14
NeuralNetTorch_FULL,0.514120057667121,,average_precision,0.045882225036621094,,2.3555822372436523,0.045882225036621094,,2.3555822372436523,1,True,22
WeightedEnsemble_L2,0.5116313177953352,0.5116313177953352,average_precision,0.5691432952880859,0.512336254119873,81.30887842178345,0.0033316612243652344,0.0031511783599853516,0.7247989177703857,2,True,12
RandomForestEntr,0.5035349956936608,0.5035349956936608,average_precision,0.1736922264099121,0.13040518760681152,9.038027286529541,0.1736922264099121,0.13040518760681152,9.038027286529541,1,True,4
LightGBM,0.5000916738124049,0.5000916738124049,average_precision,0.008467435836791992,0.007844209671020508,1.2917840480804443,0.008467435836791992,0.007844209671020508,1.2917840480804443,1,True,2
LightGBMXT,0.49922291464752366,0.49922291464752366,average_precision,0.015659809112548828,0.013487100601196289,2.197016954421997,0.015659809112548828,0.013487100601196289,2.197016954421997,1,True,1
LightGBMLarge,0.4977251349212418,0.4977251349212418,average_precision,0.014495372772216797,0.013320684432983398,8.301389694213867,0.014495372772216797,0.013320684432983398,8.301389694213867,1,True,11
RandomForestGini,0.49763725553594096,0.49763725553594096,average_precision,0.1828474998474121,0.11792802810668945,7.171621084213257,0.1828474998474121,0.11792802810668945,7.171621084213257,1,True,3
XGBoost,0.49159965835116193,0.49159965835116193,average_precision,0.027740955352783203,0.02311992645263672,1.8691320419311523,0.027740955352783203,0.02311992645263672,1.8691320419311523,1,True,9
ExtraTreesEntr,0.49041917171889554,0.49041917171889554,average_precision,0.3391132354736328,0.12012457847595215,1.0554471015930176,0.3391132354736328,0.12012457847595215,1.0554471015930176,1,True,7
ExtraTreesGini,0.4876875650421876,0.4876875650421876,average_precision,0.3129594326019287,0.13067412376403809,1.0728013515472412,0.3129594326019287,0.13067412376403809,1.0728013515472412,1,True,6
CatBoost,0.4854033565757918,0.4854033565757918,average_precision,0.04671001434326172,0.006967782974243164,15.114490270614624,0.04671001434326172,0.006967782974243164,15.114490270614624,1,True,5
NeuralNetFastAI,0.4825090974386317,0.4825090974386317,average_precision,0.2008044719696045,0.2530076503753662,63.08264708518982,0.2008044719696045,0.2530076503753662,63.08264708518982,1,True,8
NeuralNetTorch,0.465027211012095,0.465027211012095,average_precision,0.04297900199890137,0.050754547119140625,37.79796004295349,0.04297900199890137,0.050754547119140625,37.79796004295349,1,True,10
