,importance,stddev,p_value,n,p99_high,p99_low
fedfunds,0.002256459970513358,0.0005150509212085563,0.00030429057034173014,5,0.0033169569360420237,0.0011959630049846928
div_yield,0.001677350919090137,0.0010566917254845503,0.01190520865409868,5,0.003853093786894562,-0.0004983919487142876
acct_mom_log_mkvalt,0.0006649491491325765,0.0001187442343328717,0.00011701289857706163,5,0.0009094451688436917,0.00042045312942146134
expmean_div_yield,0.0005551342245891488,0.0005657515033106399,0.046631948716780544,5,0.0017200243894225189,-0.0006097559402442213
roll_min_5y_earn_yld,0.0004367179145368105,0.000352432767357538,0.02514414319345592,5,0.0011623818536644864,-0.00028894602459086525
peak_drop_log_mkvalt,0.00040983239279459573,0.0001906321560468653,0.004301324263064436,5,0.0008023466369114923,1.731814867769922e-05
roll_min_3y_earn_yld,0.0003138521281054185,0.00014105535564734684,0.0038113275065643653,5,0.0006042870549755055,2.341720123533148e-05
roll_sd_5y_earn_yld,0.0002884463246940472,0.00043748198289911185,0.10720542634495028,5,0.0011892277741269042,-0.0006123351247388099
altman_z2,0.0002423384250824112,0.00011791158077054773,0.005031763411143659,5,0.0004851199996002061,-4.431494353836728e-07
roll_min_3y_roic,0.0002353389999727007,7.015711708081138e-05,0.0008450981923490659,5,0.0003797934737164976,9.088452622890386e-05
bp_ratio,0.00022053174288094723,3.697560955224446e-05,9.138031781653766e-05,5,0.0002966650340062531,0.00014439845175564137
roll_sd_5y_log_mkvalt,0.0002172779176722539,0.0003086143847825691,0.09526812262737833,5,0.0008527192014436602,-0.00041816336609915234
indpro_growth,0.0001947212300775103,0.0002526238083007059,0.0799421681904522,5,0.0007148771430007532,-0.0003254346828457327
roll_mean_5y_ocf_per_share,0.00018607667926329174,0.00010396275179713054,0.00805027874495852,5,0.0004001374221315159,-2.7984063604932378e-05
log_mkvalt,0.00018540369663868627,4.071269910970669e-05,0.0002619441807306162,5,0.00026923170681487365,0.0001015756864624989
expvol_rd_intensity,0.00016841551721733517,8.360481934317274e-05,0.005393129065000158,5,0.00034055899578633157,-3.7279613516612276e-06
roic,0.00015733328596823082,8.345722856992399e-05,0.006763552642505221,5,0.0003291728730951867,-1.4506301158725114e-05
roll_trend_5y_log_mkvalt,0.00015478468210397,0.00015255086775973573,0.042920162399721205,5,0.000468889027298328,-0.00015931966309038796
roll_sd_5y_roa,0.0001481805776720746,0.0003000779709739502,0.16573289820869672,5,0.0007660452674257573,-0.00046968411208160815
roll_max_5y_gross_margin,0.00014312557136482164,5.707131766947527e-05,0.0024836906992953688,5,0.0002606362032557089,2.5614939473934386e-05
expvol_ocf_margin,0.0001400497989171523,0.0001422679850069552,0.04626419318186978,5,0.00043298154639899184,-0.00015288194856468722
log_emp,0.00013481950630078732,5.463928931119592e-05,0.0026339000591795287,5,0.00024732255818777325,2.231645441380138e-05
roll_sd_3y_roa,0.000120973527803514,0.00015004715805235042,0.07288136816272539,5,0.00042992270010542004,-0.00018797564449839202
roll_max_3y_asset_turnover,0.00011596408514213952,0.00017975225180101747,0.1113060936916625,5,0.000486076456040578,-0.000254148285756299
roll_min_5y_log_mkvalt,0.00011294413590832165,3.4855860896690034e-05,0.0009629373037801228,5,0.00018471283525380098,4.117543656284231e-05
acct_mom_ocf_per_share,0.0001127236598080783,0.00010024558527762821,0.03287393288142571,5,0.00031913070543594603,-9.36833858197894e-05
roll_min_5y_roa,0.0001112405401985539,4.7928280793013304e-05,0.0032808215571739764,5,0.00020992553279060685,1.2555547606500948e-05
roll_mean_3y_ocf_per_share,0.00010220593942906752,5.893785805435006e-05,0.008938576378532464,5,0.00022355980377074171,-1.9147924912606652e-05
roll_min_5y_asset_turnover,9.276794103594277e-05,6.657441618631511e-05,0.017834839891337044,5,0.00022984558411978307,-4.430970204789752e-05
