,importance,stddev,p_value,n,p99_high,p99_low
z9,0.33550321217190665,0.018234482826755095,1.042941084877256e-06,5,0.3730482643395312,0.2979581600042821
vae_recon_error,0.0767491902392768,0.014006735973366463,0.00012740589313475388,5,0.10558925320210287,0.04790912727645073
z23,0.07646106638189284,0.006773978336046163,7.315831877887492e-06,5,0.09040878140214226,0.06251335136164343
z20,0.07060185160507597,0.006977529973391235,1.1300274420023806e-05,5,0.08496868226000148,0.05623502095015045
z12,0.06467410311402286,0.006661370631876435,1.3316671846093288e-05,5,0.07838995731498292,0.0509582489130628
z14,0.04655505824129771,0.0028121514828120557,1.58985934068272e-06,5,0.05234531701247176,0.04076479947012365
z10,0.045205907190545666,0.007590946314752833,9.192431669127181e-05,5,0.060835770570649546,0.029576043810441786
z21,0.0440939017015838,0.004940882416202078,1.8605840293077533e-05,5,0.05426724688679614,0.033920556516371464
z7,0.04312984066225667,0.005443840158433837,2.9820980351706636e-05,5,0.05433878279033895,0.03192089853417439
z4,0.035330077487983245,0.0071858773735779535,0.00019450872653181412,5,0.05012589831956031,0.02053425665640618
z24,0.03433084358403475,0.002754425570510785,4.930025787930537e-06,5,0.040002243903923596,0.028659443264145906
z5,0.03395773345797044,0.0030780295091270217,8.012625891723058e-06,5,0.04029543876015187,0.02762002815578902
z22,0.031456664213674566,0.00289175336430978,8.474183302937914e-06,5,0.03741082435906736,0.02550250406828177
z15,0.0310079941283282,0.007099567389035916,0.0003079301585170911,5,0.04562610150880245,0.016389886747853948
z2,0.027269103075989197,0.0017676153782321393,2.1067827050105377e-06,5,0.030908647570810008,0.023629558581168386
z11,0.02603309808564065,0.006604913550878631,0.00045725904778562795,5,0.03963270637650645,0.012433489794774847
z18,0.025295815370552678,0.003587382413937633,4.7265031752726176e-05,5,0.03268228534374444,0.017909345397360915
z17,0.024741124300778395,0.0029221548926823323,2.2923534423327468e-05,5,0.030757881613284053,0.018724366988272737
z19,0.023030644523090383,0.004600765843751225,0.00018134902563762435,5,0.032503684984715814,0.013557604061464954
z6,0.022503494261091283,0.0016731719461971974,3.640401912060474e-06,5,0.025948578424005195,0.01905841009817737
z13,0.021089497190602713,0.002449084169782339,2.143691215677361e-05,5,0.02613219534612504,0.016046799035080387
z3,0.02104116894397612,0.004828592503525583,0.00031066223675894244,5,0.030983307646976023,0.011099030240976214
z8,0.017265082826351485,0.001665404749994276,1.026164368160329e-05,5,0.020694174224929522,0.013835991427773447
z16,0.016481491118352908,0.0021014287760820496,3.1038336243720716e-05,5,0.020808362013138154,0.012154620223567662
z1,0.013848139363425193,0.0016986922608513185,2.663245506793788e-05,5,0.017345770206940177,0.01035050851991021
