model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_FULL,1.0,,average_precision,0.22883009910583496,,63.1635103225708,0.22883009910583496,,63.1635103225708,1,True,14
LightGBMLarge_FULL,1.0,,average_precision,1.390955924987793,,206.18404006958008,1.390955924987793,,206.18404006958008,1,True,23
RandomForestEntr_FULL,0.9990884036306644,,average_precision,0.23913860321044922,,41.572227239608765,0.23913860321044922,,41.572227239608765,1,True,16
WeightedEnsemble_L2_FULL,0.9982865673597896,,average_precision,2.6060149669647217,,379.9240884780884,0.02093672752380371,,0.669442892074585,2,True,24
LightGBMXT_FULL,0.9955901193930253,,average_precision,0.09885549545288086,,20.497971534729004,0.09885549545288086,,20.497971534729004,1,True,13
ExtraTreesGini_FULL,0.9954214965179875,,average_precision,0.20524835586547852,,6.138351202011108,0.20524835586547852,,6.138351202011108,1,True,18
ExtraTreesEntr_FULL,0.9948209416486428,,average_precision,0.26462411880493164,,6.220694541931152,0.26462411880493164,,6.220694541931152,1,True,19
XGBoost_FULL,0.9827279500451571,,average_precision,0.2559993267059326,,13.868257284164429,0.2559993267059326,,13.868257284164429,1,True,21
RandomForestGini_FULL,0.9814265986169045,,average_precision,0.1728811264038086,,42.18003273010254,0.1728811264038086,,42.18003273010254,1,True,15
CatBoost_FULL,0.8855265824956299,,average_precision,0.056511878967285156,,17.789670944213867,0.056511878967285156,,17.789670944213867,1,True,17
NeuralNetTorch_FULL,0.8256411992047633,,average_precision,0.15174388885498047,,19.980841875076294,0.15174388885498047,,19.980841875076294,1,True,22
NeuralNetFastAI_FULL,0.7691927873345212,,average_precision,0.270305871963501,,21.717703342437744,0.270305871963501,,21.717703342437744,1,True,20
WeightedEnsemble_L2,0.7048624434424386,0.7048624434424386,average_precision,2.352747917175293,2.33284330368042,533.627023935318,0.02163243293762207,0.0029211044311523438,0.669442892074585,2,True,12
LightGBMLarge,0.6965076658459387,0.6965076658459387,average_precision,1.162264347076416,1.1438398361206055,218.56781125068665,1.162264347076416,1.1438398361206055,218.56781125068665,1,True,11
LightGBM,0.6956948035502049,0.6956948035502049,average_precision,0.23778510093688965,0.2581665515899658,87.6705572605133,0.23778510093688965,0.2581665515899658,87.6705572605133,1,True,2
LightGBMXT,0.6916493187244059,0.6916493187244059,average_precision,0.111297607421875,0.09227728843688965,28.714372634887695,0.111297607421875,0.09227728843688965,28.714372634887695,1,True,1
CatBoost,0.6865017399673661,0.6865017399673661,average_precision,0.053354740142822266,0.034857749938964844,23.345200300216675,0.053354740142822266,0.034857749938964844,23.345200300216675,1,True,5
NeuralNetFastAI,0.6773425731211783,0.6773425731211783,average_precision,0.2827298641204834,0.3598215579986572,79.72135996818542,0.2827298641204834,0.3598215579986572,79.72135996818542,1,True,8
RandomForestEntr,0.6746934265368184,0.6746934265368184,average_precision,0.1923081874847412,0.1654648780822754,32.42987275123596,0.1923081874847412,0.1654648780822754,32.42987275123596,1,True,4
RandomForestGini,0.6697849376837396,0.6697849376837396,average_precision,0.17035341262817383,0.16697096824645996,33.07792830467224,0.17035341262817383,0.16697096824645996,33.07792830467224,1,True,3
ExtraTreesGini,0.6583938625722293,0.6583938625722293,average_precision,0.19463777542114258,0.16176176071166992,6.0979273319244385,0.19463777542114258,0.16176176071166992,6.0979273319244385,1,True,6
NeuralNetTorch,0.6575484303755545,0.6575484303755545,average_precision,0.15009260177612305,0.1485903263092041,79.75567984580994,0.15009260177612305,0.1485903263092041,79.75567984580994,1,True,10
ExtraTreesEntr,0.6563696990121924,0.6563696990121924,average_precision,0.24802660942077637,0.40442991256713867,5.045418977737427,0.24802660942077637,0.40442991256713867,5.045418977737427,1,True,7
XGBoost,0.6266588981673977,0.6266588981673977,average_precision,0.23205161094665527,0.259235143661499,22.75575304031372,0.23205161094665527,0.259235143661499,22.75575304031372,1,True,9
