,importance,stddev,p_value,n,p99_high,p99_low
z7,0.39232199513024735,0.019856577522422352,7.847770519515579e-07,5,0.4332069626959821,0.3514370275645126
z2,0.13210341525994873,0.004816474078268737,2.116764817187471e-07,5,0.14202060195785035,0.12218622856204711
z9,0.13178748715815783,0.0075983898005130565,1.3202261181950007e-06,5,0.14743267677832192,0.11614229753799374
z5,0.08920832860394419,0.006367259933420667,3.093326279693576e-06,5,0.10231860481174199,0.07609805239614639
z1,0.07564299365158869,0.008454073089294927,1.8415004452520373e-05,5,0.09305004699015455,0.05823594031302283
z17,0.06926648484061067,0.0068342102797523795,1.1226021273836678e-05,5,0.0833382182654451,0.05519475141577623
z20,0.0690990626111451,0.005420566903973918,4.50729941639486e-06,5,0.08026008478662384,0.057938040435666346
z15,0.06704239205344038,0.005839907830735522,6.839528824586249e-06,5,0.07906684299302881,0.05501794111385195
vae_recon_error,0.06696681595499113,0.007343932795777671,1.708147177896315e-05,5,0.0820880750854355,0.05184555682454675
z14,0.062543372294068,0.004905437888114344,4.504155596242918e-06,5,0.07264373670605226,0.05244300788208375
z13,0.05993950411188205,0.009051401681513777,6.054822121103635e-05,5,0.07857646527778503,0.04130254294597907
z19,0.05890726857550828,0.00765137997600469,3.340089319230474e-05,5,0.07466156569941171,0.043152971451604856
z24,0.05148962386146174,0.004409411731374571,6.391315253443153e-06,5,0.060568663560908745,0.042410584162014736
z3,0.05085885843728244,0.007023691127784352,4.2561068720027866e-05,5,0.06532073554711834,0.03639698132744654
z23,0.04307532274156776,0.004458815236470216,1.3582066741333607e-05,5,0.052256084940835695,0.03389456054229982
z12,0.040115335585735566,0.0025908641393754188,2.0763785198571192e-06,5,0.045449960658257474,0.03478071051321366
z16,0.039332646620644465,0.0023320457991792345,1.4759920274968184e-06,5,0.04413436115345281,0.03453093208783612
z4,0.03892200693434626,0.0035062104439370755,7.817498047782555e-06,5,0.046141342699391026,0.0317026711693015
z11,0.03861111459509152,0.0017296694709586318,4.819735608830724e-07,5,0.042172527942368004,0.035049701247815035
z21,0.038456290436638584,0.004784613905196156,2.81701041040961e-05,5,0.048307876597829376,0.02860470427544779
z6,0.037163090326890115,0.002206940634546823,1.4854471493300015e-06,5,0.041707211596583194,0.032618969057197036
z10,0.035183941676466345,0.002889571463215165,5.41054957528866e-06,5,0.04113360925734825,0.02923427409558444
z22,0.03509922857824219,0.0034375736573946563,1.0900966331109348e-05,5,0.04217724025113491,0.028021216905349474
z18,0.034811466987602714,0.0019937527764907134,1.2855238254220388e-06,5,0.038916631510988925,0.0307063024642165
z8,0.029509670185620805,0.0029626600286538247,1.2029205809454753e-05,5,0.03560982813293224,0.023409512238309373
