model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.997611776938303,,average_precision,0.1770031452178955,,12.646902084350586,0.1770031452178955,,12.646902084350586,1,True,16
RandomForestGini_FULL,0.9940505741514924,,average_precision,0.16540837287902832,,11.989951848983765,0.16540837287902832,,11.989951848983765,1,True,15
LightGBMLarge_FULL,0.9874690621244012,,average_precision,0.04679417610168457,,15.480525732040405,0.04679417610168457,,15.480525732040405,1,True,23
ExtraTreesGini_FULL,0.9808853261857027,,average_precision,0.20119643211364746,,1.2978720664978027,0.20119643211364746,,1.2978720664978027,1,True,18
ExtraTreesEntr_FULL,0.9683396312581618,,average_precision,0.2886786460876465,,1.3230090141296387,0.2886786460876465,,1.3230090141296387,1,True,19
WeightedEnsemble_L2_FULL,0.8863161328535855,,average_precision,0.300525426864624,,77.37064027786255,0.0039997100830078125,,0.6776566505432129,2,True,24
LightGBMXT_FULL,0.843556406711942,,average_precision,0.0592193603515625,,6.69624924659729,0.0592193603515625,,6.69624924659729,1,True,13
CatBoost_FULL,0.7912558200229225,,average_precision,0.017578840255737305,,12.947746515274048,0.017578840255737305,,12.947746515274048,1,True,17
XGBoost_FULL,0.7887284139509455,,average_precision,0.02216172218322754,,1.3208696842193604,0.02216172218322754,,1.3208696842193604,1,True,21
LightGBM_FULL,0.7058673925909191,,average_precision,0.012958765029907227,,3.6127724647521973,0.012958765029907227,,3.6127724647521973,1,True,14
NeuralNetTorch_FULL,0.6946345514117226,,average_precision,0.03802943229675293,,41.1102499961853,0.03802943229675293,,41.1102499961853,1,True,22
WeightedEnsemble_L2,0.5768976160755748,0.5768976160755748,average_precision,0.32869911193847656,0.39589428901672363,181.12968802452087,0.003904104232788086,0.0030264854431152344,0.6776566505432129,2,True,12
LightGBMXT,0.5633594700532836,0.5633594700532836,average_precision,0.07854843139648438,0.0763392448425293,10.700544118881226,0.07854843139648438,0.0763392448425293,10.700544118881226,1,True,1
LightGBMLarge,0.5572459972647088,0.5572459972647088,average_precision,0.04708385467529297,0.04276919364929199,11.52419376373291,0.04708385467529297,0.04276919364929199,11.52419376373291,1,True,11
LightGBM,0.5519778174470948,0.5519778174470948,average_precision,0.012700557708740234,0.027479887008666992,2.4318740367889404,0.012700557708740234,0.027479887008666992,2.4318740367889404,1,True,2
NeuralNetTorch,0.5503408082279736,0.5503408082279736,average_precision,0.03791499137878418,0.045978546142578125,95.99358749389648,0.03791499137878418,0.045978546142578125,95.99358749389648,1,True,10
NeuralNetFastAI_FULL,0.5473301416424373,,average_precision,0.1524827480316162,,13.405958652496338,0.1524827480316162,,13.405958652496338,1,True,20
CatBoost,0.5459765754461431,0.5459765754461431,average_precision,0.022246837615966797,0.0065386295318603516,18.555114030838013,0.022246837615966797,0.0065386295318603516,18.555114030838013,1,True,5
XGBoost,0.5416784325036472,0.5416784325036472,average_precision,0.021825075149536133,0.01581597328186035,2.4009923934936523,0.021825075149536133,0.01581597328186035,2.4009923934936523,1,True,9
NeuralNetFastAI,0.5397608229251141,0.5397608229251141,average_precision,0.16124773025512695,0.22778081893920898,62.23370599746704,0.16124773025512695,0.22778081893920898,62.23370599746704,1,True,8
RandomForestEntr,0.5216595140462076,0.5216595140462076,average_precision,0.17626547813415527,0.12548136711120605,10.962508916854858,0.17626547813415527,0.12548136711120605,10.962508916854858,1,True,4
ExtraTreesGini,0.5185205863273058,0.5185205863273058,average_precision,0.19370174407958984,0.11582255363464355,1.2114570140838623,0.19370174407958984,0.11582255363464355,1.2114570140838623,1,True,6
ExtraTreesEntr,0.5119384762402682,0.5119384762402682,average_precision,0.25641632080078125,0.11563277244567871,1.1873531341552734,0.25641632080078125,0.11563277244567871,1.1873531341552734,1,True,7
RandomForestGini,0.5077655846906488,0.5077655846906488,average_precision,0.15603351593017578,0.11353564262390137,10.201014041900635,0.15603351593017578,0.11353564262390137,10.201014041900635,1,True,3
