model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_FULL,0.9999320843514452,,average_precision,0.46446919441223145,,198.32836079597473,0.46446919441223145,,198.32836079597473,1,True,21
LightGBM_FULL,0.9999303173749577,,average_precision,0.4694478511810303,,100.4094409942627,0.4694478511810303,,100.4094409942627,1,True,14
WeightedEnsemble_L2_FULL,0.9993890315237103,,average_precision,1.0549726486206055,,500.3880019187927,0.003144979476928711,,0.7297966480255127,2,True,24
CatBoost_FULL,0.9952752219612321,,average_precision,0.0805659294128418,,190.06050181388855,0.0805659294128418,,190.06050181388855,1,True,17
RandomForestEntr_FULL,0.9905427233038118,,average_precision,0.24220752716064453,,33.61839437484741,0.24220752716064453,,33.61839437484741,1,True,16
RandomForestGini_FULL,0.9844978490444246,,average_precision,0.19515633583068848,,28.250173807144165,0.19515633583068848,,28.250173807144165,1,True,15
ExtraTreesGini_FULL,0.9839781330765107,,average_precision,0.21622562408447266,,5.113837242126465,0.21622562408447266,,5.113837242126465,1,True,18
ExtraTreesEntr_FULL,0.9812558674299043,,average_precision,0.3092658519744873,,5.184698581695557,0.3092658519744873,,5.184698581695557,1,True,19
LightGBMLarge_FULL,0.9309581654093779,,average_precision,0.03734469413757324,,10.859901666641235,0.03734469413757324,,10.859901666641235,1,True,23
LightGBMXT_FULL,0.9081943246613885,,average_precision,0.051752567291259766,,12.193954944610596,0.051752567291259766,,12.193954944610596,1,True,13
NeuralNetFastAI_FULL,0.6676005536740284,,average_precision,0.32230114936828613,,14.105886697769165,0.32230114936828613,,14.105886697769165,1,True,20
NeuralNetTorch_FULL,0.6272741453407675,,average_precision,0.17028522491455078,,10.574460506439209,0.17028522491455078,,10.574460506439209,1,True,22
WeightedEnsemble_L2,0.559035126551668,0.559035126551668,average_precision,1.0414400100708008,1.0290372371673584,730.7103588581085,0.003142833709716797,0.0030813217163085938,0.7297966480255127,2,True,12
LightGBM,0.5454148374600061,0.5454148374600061,average_precision,0.4668266773223877,0.4832279682159424,147.28897404670715,0.4668266773223877,0.4832279682159424,147.28897404670715,1,True,2
LightGBMLarge,0.5436873997322942,0.5436873997322942,average_precision,0.03393435478210449,0.03721785545349121,13.271836280822754,0.03393435478210449,0.03721785545349121,13.271836280822754,1,True,11
CatBoost,0.5380968127853557,0.5380968127853557,average_precision,0.0961751937866211,0.05924391746520996,243.71847438812256,0.0961751937866211,0.05924391746520996,243.71847438812256,1,True,5
LightGBMXT,0.5352785937127096,0.5352785937127096,average_precision,0.08255314826965332,0.05407452583312988,15.760034322738647,0.08255314826965332,0.05407452583312988,15.760034322738647,1,True,1
XGBoost,0.52699798463462,0.52699798463462,average_precision,0.4413609504699707,0.44626617431640625,325.70127749443054,0.4413609504699707,0.44626617431640625,325.70127749443054,1,True,9
RandomForestGini,0.5218220440298338,0.5218220440298338,average_precision,0.20444726943969727,0.18661737442016602,21.926488161087036,0.20444726943969727,0.18661737442016602,21.926488161087036,1,True,3
RandomForestEntr,0.5196240208668129,0.5196240208668129,average_precision,0.20683884620666504,0.18793821334838867,25.914563179016113,0.20683884620666504,0.18793821334838867,25.914563179016113,1,True,4
ExtraTreesEntr,0.515773611331966,0.515773611331966,average_precision,0.30173468589782715,0.17006278038024902,4.0172319412231445,0.30173468589782715,0.17006278038024902,4.0172319412231445,1,True,7
ExtraTreesGini,0.5155238939454246,0.5155238939454246,average_precision,0.21640706062316895,0.15677428245544434,4.159359931945801,0.21640706062316895,0.15677428245544434,4.159359931945801,1,True,6
NeuralNetFastAI,0.475483689499965,0.475483689499965,average_precision,0.2837843894958496,0.4045710563659668,63.7795135974884,0.2837843894958496,0.4045710563659668,63.7795135974884,1,True,8
NeuralNetTorch,0.45531451353993846,0.45531451353993846,average_precision,0.14497065544128418,0.20347237586975098,56.92788052558899,0.14497065544128418,0.20347237586975098,56.92788052558899,1,True,10
