model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.9926131388694567,,average_precision,0.18969225883483887,,11.182106971740723,0.18969225883483887,,11.182106971740723,1,True,16
RandomForestGini_FULL,0.9917257702588744,,average_precision,0.18164730072021484,,9.197574853897095,0.18164730072021484,,9.197574853897095,1,True,15
ExtraTreesGini_FULL,0.9862151732171639,,average_precision,0.2730574607849121,,1.2328498363494873,0.2730574607849121,,1.2328498363494873,1,True,18
ExtraTreesEntr_FULL,0.9819571622501632,,average_precision,0.36157655715942383,,1.2075626850128174,0.36157655715942383,,1.2075626850128174,1,True,19
WeightedEnsemble_L2_FULL,0.8788523727022916,,average_precision,0.6636414527893066,,76.46487021446228,0.004130363464355469,,0.7243428230285645,2,True,24
LightGBMLarge_FULL,0.8257430563122962,,average_precision,0.029808521270751953,,10.369572877883911,0.029808521270751953,,10.369572877883911,1,True,23
LightGBM_FULL,0.7427766697987873,,average_precision,0.02790546417236328,,5.3396100997924805,0.02790546417236328,,5.3396100997924805,1,True,14
XGBoost_FULL,0.6912370300639759,,average_precision,0.026863813400268555,,1.0299229621887207,0.026863813400268555,,1.0299229621887207,1,True,21
LightGBMXT_FULL,0.6776523742742082,,average_precision,0.030646562576293945,,2.9984941482543945,0.030646562576293945,,2.9984941482543945,1,True,13
CatBoost_FULL,0.6722979538658547,,average_precision,0.014131307601928711,,16.671159267425537,0.014131307601928711,,16.671159267425537,1,True,17
NeuralNetFastAI_FULL,0.5899346430124988,,average_precision,0.18567967414855957,,19.982009172439575,0.18567967414855957,,19.982009172439575,1,True,20
NeuralNetTorch_FULL,0.5337956513932354,,average_precision,0.04256463050842285,,4.423393726348877,0.04256463050842285,,4.423393726348877,1,True,22
WeightedEnsemble_L2,0.5114421345910964,0.5114421345910964,average_precision,0.6857023239135742,0.5309910774230957,110.00824809074402,0.004090070724487305,0.003082752227783203,0.7243428230285645,2,True,12
LightGBMXT,0.5011693783897342,0.5011693783897342,average_precision,0.04381871223449707,0.02455878257751465,5.111339807510376,0.04381871223449707,0.02455878257751465,5.111339807510376,1,True,1
RandomForestEntr,0.5005635285469074,0.5005635285469074,average_precision,0.19379258155822754,0.11690044403076172,8.946576833724976,0.19379258155822754,0.11690044403076172,8.946576833724976,1,True,4
LightGBMLarge,0.5004508357682068,0.5004508357682068,average_precision,0.027126073837280273,0.02603745460510254,7.018726348876953,0.027126073837280273,0.02603745460510254,7.018726348876953,1,True,11
LightGBM,0.4982402034484005,0.4982402034484005,average_precision,0.030949115753173828,0.02035069465637207,4.112104654312134,0.030949115753173828,0.02035069465637207,4.112104654312134,1,True,2
RandomForestGini,0.4979081819375538,0.4979081819375538,average_precision,0.1706085205078125,0.1288166046142578,7.049204349517822,0.1706085205078125,0.1288166046142578,7.049204349517822,1,True,3
ExtraTreesEntr,0.49346515944862357,0.49346515944862357,average_precision,0.3281688690185547,0.12046194076538086,1.0810565948486328,0.3281688690185547,0.12046194076538086,1.0810565948486328,1,True,7
XGBoost,0.49327630106513803,0.49327630106513803,average_precision,0.027330636978149414,0.02689194679260254,1.9242372512817383,0.027330636978149414,0.02689194679260254,1.9242372512817383,1,True,9
ExtraTreesGini,0.49196241106281113,0.49196241106281113,average_precision,0.22661519050598145,0.11929106712341309,1.0591673851013184,0.22661519050598145,0.11929106712341309,1.0591673851013184,1,True,6
NeuralNetFastAI,0.4913126287448,0.4913126287448,average_precision,0.18325066566467285,0.20322465896606445,55.123695850372314,0.18325066566467285,0.20322465896606445,55.123695850372314,1,True,8
CatBoost,0.4890393753761193,0.4890393753761193,average_precision,0.03206658363342285,0.008019685745239258,21.92225742340088,0.03206658363342285,0.008019685745239258,21.92225742340088,1,True,5
NeuralNetTorch,0.4825063817230463,0.4825063817230463,average_precision,0.0424342155456543,0.05186724662780762,38.17414116859436,0.0424342155456543,0.05186724662780762,38.17414116859436,1,True,10
