,importance,stddev,p_value,n,p99_high,p99_low
z7,0.16371466158121384,0.006889812512017184,3.755222674622372e-07,5,0.17790088077078603,0.14952844239164165
z2,0.1464809340141084,0.008114790028309792,1.1256178310183525e-06,5,0.1631893988407156,0.12977246918750118
vae_recon_error,0.14203105652131448,0.007341344606353758,8.535027764673158e-07,5,0.15714698653396245,0.12691512650866651
z9,0.07497069306765666,0.0017390849295625004,3.472056513089847e-08,5,0.07855149297433398,0.07138989316097935
z24,0.07145874597128399,0.003916271843454096,1.0782358578031643e-06,5,0.07952240382558515,0.06339508811698283
z10,0.06918459809099642,0.004920986632830859,3.050902739359018e-06,5,0.07931697758325847,0.05905221859873437
year_cat,0.06747694454662359,0.003091785754936734,5.274513916375506e-07,5,0.07384297414905873,0.061110914944188445
z1,0.05406802692307398,0.0024941328462830484,5.418340479193483e-07,5,0.05920348092615014,0.048932572919997815
z3,0.041859182300815576,0.0010112620202723623,4.084465055298398e-08,5,0.04394138477768285,0.0397769798239483
z19,0.04101542633675239,0.0020866543092121176,8.011190978943199e-07,5,0.045311876400047614,0.03671897627345717
z6,0.03983441566941792,0.002776896951216034,2.815643821422316e-06,5,0.045552084872766366,0.03411674646606948
z12,0.035931757009650525,0.0011293348011750962,1.1694629608055873e-07,5,0.03825707297433579,0.03360644104496526
z18,0.034194977388690574,0.0015194137783107386,4.665452731726311e-07,5,0.037323471358762544,0.031066483418618604
z17,0.031169590987883123,0.0016708032052639885,9.869519776649492e-07,5,0.03460979788047608,0.027729384095290164
z14,0.030464501854374593,0.0010343097529971292,1.5919895742307914e-07,5,0.032594159931475686,0.028334843777273504
z5,0.02804684851615271,0.0007371535849880391,5.721066480905127e-08,5,0.02956465793618837,0.02652903909611705
z16,0.026537069527705803,0.0012629148653610905,6.136988989660806e-07,5,0.029137428690822722,0.023936710364588883
z4,0.02594052445647088,0.0010378724257634336,3.06842672312093e-07,5,0.02807751812603916,0.023803530786902602
z15,0.02587332140319376,0.0007848847840794628,1.014993960995503e-07,5,0.027489410021873946,0.024257232784513576
z11,0.024687494164275136,0.0013012101007915478,9.226903113834392e-07,5,0.02736670374643977,0.0220082845821105
z8,0.024029143944847852,0.0006819031452318501,7.774145057479857e-08,5,0.025433191945783293,0.02262509594391241
z23,0.022866898588265183,0.0007564087745720012,1.4346470574925743e-07,5,0.024424354709789226,0.02130944246674114
z22,0.02250971655262064,0.0007490053164068973,1.4689258520454262e-07,5,0.024051928851456066,0.020967504253785213
z20,0.022499819929546215,0.0009861237702931155,4.416510727746174e-07,5,0.024530262402258682,0.02046937745683375
z21,0.02181221865818057,0.0009142365437957729,3.694873612233812e-07,5,0.02369464433794795,0.01992979297841319
z13,0.02037427269848293,0.0005056866942484347,4.5501138382665526e-08,5,0.021415488591273332,0.019333056805692528
