model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.9941949225896745,,average_precision,0.17709612846374512,,11.070266246795654,0.17709612846374512,,11.070266246795654,1,True,16
RandomForestGini_FULL,0.9938257063470642,,average_precision,0.18099308013916016,,9.623995304107666,0.18099308013916016,,9.623995304107666,1,True,15
ExtraTreesGini_FULL,0.987644799121109,,average_precision,0.25682568550109863,,1.1889266967773438,0.25682568550109863,,1.1889266967773438,1,True,18
ExtraTreesEntr_FULL,0.9817561847043769,,average_precision,0.3606443405151367,,1.2251639366149902,0.3606443405151367,,1.2251639366149902,1,True,19
WeightedEnsemble_L2_FULL,0.899373864714185,,average_precision,0.54815673828125,,43.36762571334839,0.002793550491333008,,0.7213900089263916,2,True,24
LightGBMLarge_FULL,0.7077898671761504,,average_precision,0.015168905258178711,,6.237878799438477,0.015168905258178711,,6.237878799438477,1,True,23
XGBoost_FULL,0.6333289197901126,,average_precision,0.030228376388549805,,0.6454472541809082,0.030228376388549805,,0.6454472541809082,1,True,21
CatBoost_FULL,0.629130924091649,,average_precision,0.013827800750732422,,11.046632528305054,0.013827800750732422,,11.046632528305054,1,True,17
NeuralNetFastAI_FULL,0.6030543162495543,,average_precision,0.18143129348754883,,20.29695701599121,0.18143129348754883,,20.29695701599121,1,True,20
LightGBMXT_FULL,0.5855182851298238,,average_precision,0.011321067810058594,,3.146479606628418,0.011321067810058594,,3.146479606628418,1,True,13
LightGBM_FULL,0.5670591711365089,,average_precision,0.005842685699462891,,1.6550171375274658,0.005842685699462891,,1.6550171375274658,1,True,14
NeuralNetTorch_FULL,0.514120057667121,,average_precision,0.04073452949523926,,2.268874406814575,0.04073452949523926,,2.268874406814575,1,True,22
WeightedEnsemble_L2,0.5116313177953352,0.5116313177953352,average_precision,0.5347068309783936,0.49430298805236816,75.2187488079071,0.002671480178833008,0.0031011104583740234,0.7213900089263916,2,True,12
RandomForestEntr,0.5035349956936608,0.5035349956936608,average_precision,0.179656982421875,0.12931394577026367,9.214086532592773,0.179656982421875,0.12931394577026367,9.214086532592773,1,True,4
LightGBM,0.5000916738124049,0.5000916738124049,average_precision,0.0060138702392578125,0.00725865364074707,1.2124431133270264,0.0060138702392578125,0.00725865364074707,1.2124431133270264,1,True,2
LightGBMXT,0.49922291464752366,0.49922291464752366,average_precision,0.011058330535888672,0.020987987518310547,2.154294729232788,0.011058330535888672,0.020987987518310547,2.154294729232788,1,True,1
LightGBMLarge,0.4977251349212418,0.4977251349212418,average_precision,0.01365804672241211,0.013158321380615234,3.3424689769744873,0.01365804672241211,0.013158321380615234,3.3424689769744873,1,True,11
RandomForestGini,0.49763725553594096,0.49763725553594096,average_precision,0.16008543968200684,0.12902259826660156,7.177492380142212,0.16008543968200684,0.12902259826660156,7.177492380142212,1,True,3
XGBoost,0.49159965835116193,0.49159965835116193,average_precision,0.025165796279907227,0.02780747413635254,1.8389458656311035,0.025165796279907227,0.02780747413635254,1.8389458656311035,1,True,9
ExtraTreesEntr,0.49041917171889554,0.49041917171889554,average_precision,0.341843843460083,0.1289207935333252,1.0802218914031982,0.341843843460083,0.1289207935333252,1.0802218914031982,1,True,7
ExtraTreesGini,0.4876875650421876,0.4876875650421876,average_precision,0.2374112606048584,0.1184234619140625,1.0719313621520996,0.2374112606048584,0.1184234619140625,1.0719313621520996,1,True,6
CatBoost,0.4854033565757918,0.4854033565757918,average_precision,0.03842639923095703,0.006525993347167969,15.031018018722534,0.03842639923095703,0.006525993347167969,15.031018018722534,1,True,5
NeuralNetFastAI,0.4825090974386317,0.4825090974386317,average_precision,0.1862790584564209,0.22560667991638184,56.8933367729187,0.1862790584564209,0.22560667991638184,56.8933367729187,1,True,8
NeuralNetTorch,0.465027211012095,0.465027211012095,average_precision,0.042053937911987305,0.05080890655517578,36.72520995140076,0.042053937911987305,0.05080890655517578,36.72520995140076,1,True,10
