model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr_FULL,0.9926131388694567,,average_precision,0.18645143508911133,,10.941640138626099,0.18645143508911133,,10.941640138626099,1,True,16
RandomForestGini_FULL,0.9917257702588744,,average_precision,0.18787169456481934,,8.888031005859375,0.18787169456481934,,8.888031005859375,1,True,15
ExtraTreesGini_FULL,0.9862151732171639,,average_precision,0.2380201816558838,,1.1528916358947754,0.2380201816558838,,1.1528916358947754,1,True,18
ExtraTreesEntr_FULL,0.9819571622501632,,average_precision,0.35941147804260254,,1.2304556369781494,0.35941147804260254,,1.2304556369781494,1,True,19
WeightedEnsemble_L2_FULL,0.8788523727022916,,average_precision,0.6583709716796875,,82.03561902046204,0.003997087478637695,,0.7222368717193604,2,True,24
LightGBMLarge_FULL,0.8257430563122962,,average_precision,0.030159950256347656,,12.387942552566528,0.030159950256347656,,12.387942552566528,1,True,23
LightGBM_FULL,0.7427766697987873,,average_precision,0.025179624557495117,,6.886932849884033,0.025179624557495117,,6.886932849884033,1,True,14
XGBoost_FULL,0.6912370300639759,,average_precision,0.026744842529296875,,0.9146664142608643,0.026744842529296875,,0.9146664142608643,1,True,21
LightGBMXT_FULL,0.6776523742742082,,average_precision,0.030643463134765625,,3.491757869720459,0.030643463134765625,,3.491757869720459,1,True,13
CatBoost_FULL,0.6722979538658547,,average_precision,0.014991521835327148,,17.779917240142822,0.014991521835327148,,17.779917240142822,1,True,17
NeuralNetFastAI_FULL,0.5899346430124988,,average_precision,0.1790761947631836,,20.93716049194336,0.1790761947631836,,20.93716049194336,1,True,20
NeuralNetTorch_FULL,0.5337956513932354,,average_precision,0.04180717468261719,,4.24465274810791,0.04180717468261719,,4.24465274810791,1,True,22
WeightedEnsemble_L2,0.5114421345910964,0.5114421345910964,average_precision,0.7004945278167725,0.585655689239502,120.5570158958435,0.004136800765991211,0.003126382827758789,0.7222368717193604,2,True,12
LightGBMXT,0.5011693783897342,0.5011693783897342,average_precision,0.043057918548583984,0.04484677314758301,5.282124280929565,0.043057918548583984,0.04484677314758301,5.282124280929565,1,True,1
RandomForestEntr,0.5005635285469074,0.5005635285469074,average_precision,0.1936943531036377,0.11867809295654297,8.62268328666687,0.1936943531036377,0.11867809295654297,8.62268328666687,1,True,4
LightGBMLarge,0.5004508357682068,0.5004508357682068,average_precision,0.027271509170532227,0.026200056076049805,13.494663715362549,0.027271509170532227,0.026200056076049805,13.494663715362549,1,True,11
LightGBM,0.4982402034484005,0.4982402034484005,average_precision,0.03213763236999512,0.02012157440185547,8.519309520721436,0.03213763236999512,0.02012157440185547,8.519309520721436,1,True,2
RandomForestGini,0.4979081819375538,0.4979081819375538,average_precision,0.19953465461730957,0.11460757255554199,7.161416292190552,0.19953465461730957,0.11460757255554199,7.161416292190552,1,True,3
ExtraTreesEntr,0.49346515944862357,0.49346515944862357,average_precision,0.3125572204589844,0.1218104362487793,1.1012649536132812,0.3125572204589844,0.1218104362487793,1.1012649536132812,1,True,7
XGBoost,0.49327630106513803,0.49327630106513803,average_precision,0.02707982063293457,0.03630781173706055,2.016155481338501,0.02707982063293457,0.03630781173706055,2.016155481338501,1,True,9
ExtraTreesGini,0.49196241106281113,0.49196241106281113,average_precision,0.229722261428833,0.12594318389892578,1.1121137142181396,0.229722261428833,0.12594318389892578,1.1121137142181396,1,True,6
NeuralNetFastAI,0.4913126287448,0.4913126287448,average_precision,0.1811225414276123,0.25013232231140137,56.93697214126587,0.1811225414276123,0.25013232231140137,56.93697214126587,1,True,8
CatBoost,0.4890393753761193,0.4890393753761193,average_precision,0.01953911781311035,0.007942914962768555,19.817609786987305,0.01953911781311035,0.007942914962768555,19.817609786987305,1,True,5
NeuralNetTorch,0.4825063817230463,0.4825063817230463,average_precision,0.04292583465576172,0.0760653018951416,39.226176261901855,0.04292583465576172,0.0760653018951416,39.226176261901855,1,True,10
