,importance,stddev,p_value,n,p99_high,p99_low
max_dd_60m,0.017505074534217215,0.001328129458576799,3.946036055735214e-06,5,0.020239711446126744,0.014770437622307685
max_dd_12m,0.014345041451214624,0.0021197261140849903,5.5584514310029476e-05,5,0.01870958681784401,0.009980496084585237
vol_60m,0.00241764085696623,0.0004434382798314099,0.00012993105257879658,5,0.0033306864041074613,0.001504595309824999
fedfunds,0.001393303475348051,0.0002725172999817128,0.00016700936509017492,5,0.0019544203625997624,0.0008321865880963399
ann_return,0.0012809628309961684,0.00021351722210356734,8.929911716605481e-05,5,0.0017205977424290413,0.0008413279195632955
vol_12m,0.0011868531972337726,0.00024112763901163614,0.00019366450480277347,5,0.0016833383386968756,0.0006903680557706697
altman_z2,0.0007428542327709619,0.00012865889941623344,0.00010378939669896712,5,0.0010077646849239532,0.00047794378061797064
vix,0.0006609277494973309,0.00024944999108478526,0.0020333278943450083,5,0.0011745487289061777,0.00014730677008848423
expmean_log_return,0.0006493078473383207,0.0001659997624208999,0.000470845132707872,5,0.0009911036525234941,0.0003075120421531474
mom_6m,0.0005592608194767701,7.997855182227455e-05,4.885029899703595e-05,5,0.0007239377630998936,0.00039458387585364655
acct_mom_log_mkvalt,0.0004527771672129699,0.0001723987114642112,0.002099754038832786,5,0.0008077484969211958,9.780583750474401e-05
roll_sd_5y_log_mkvalt,0.00042409389836095546,7.06854586216797e-05,8.927624492567369e-05,5,0.0005696362346398563,0.00027855156208205466
hy_spread,0.000415786500070503,0.00014947409355678916,0.0017005968089046533,5,0.0007235557246554553,0.00010801727548555068
expvol_rd_intensity,0.00041164094638679316,0.00011714079242855524,0.0007086699523997924,5,0.0006528354570549985,0.00017044643571858788
mom_3m,0.00040894586828745807,0.00010473898710484396,0.0004741222759083316,5,0.0006246048903829763,0.0001932868461919399
cpi_inflation,0.0003889478816953895,0.00012237879945997508,0.001035579059085623,5,0.0006409275212382391,0.0001369682421525399
bp_ratio,0.0003746665310542685,0.0001725824837708433,0.004156529372393825,5,0.0007300162504818531,1.93168116266839e-05
log_emp,0.00037400676186407635,8.745298080083043e-05,0.0003340003239865269,5,0.0005540736580616336,0.00019393986566651917
indpro_growth,0.0003651439201059592,8.804923025200912e-05,0.0003760844663339486,5,0.0005464385021645365,0.0001838493380473819
roll_min_5y_roa,0.00033347547551494384,6.469522938145441e-05,0.00016178151938174443,5,0.00046668384699445414,0.00020026710403543355
expvol_log_return,0.0003318962318711316,6.387884596364072e-05,0.00015683708491760287,5,0.00046342365860974554,0.00020036880513251765
roll_sd_3y_ebitda_margin,0.00032808833881599054,7.610921016625008e-05,0.00032391486290125546,5,0.0004847982544893747,0.0001713784231426064
div_yield,0.0003270350242966513,7.53834019699561e-05,0.00031604564578695195,5,0.0004822504908621308,0.00017181955773117185
peak_drop_log_mkvalt,0.0003241636561248207,6.93444688406085e-05,0.00023666113749726167,5,0.00046694487591004746,0.00018138243633959388
expmean_log_emp,0.000315046532546881,6.158241295681705e-05,0.00016661027090188608,5,0.0004418455719843678,0.00018824749310939414
expmean_capex_intensity,0.00030624161684726924,0.0001280799222660503,0.002949775191695176,5,0.0005699599470457188,4.2523286648819684e-05
mom_1m,0.0002899242157912152,8.290368689768598e-05,0.0007217954796230571,5,0.0004606240529642741,0.00011922437861815627
roll_mean_5y_ocf_per_share,0.00028819270384425886,8.092013778026286e-05,0.0006735161516986345,5,0.0004548083859689813,0.00012157702171953643
interact_acc_hyspr,0.00028663795049521656,8.841760959999267e-05,0.0009612111803841057,5,0.00046869103072283565,0.00010458487026759747
ocf_per_share,0.000279943201188515,0.0001302879755797012,0.0043098204900112,5,0.0005482079436783119,1.1678458698718161e-05
