,importance,stddev,p_value,n,p99_high,p99_low
z9,0.22051509499865957,0.014822970450669097,2.4353252239626478e-06,5,0.25103579603181114,0.189994393965508
year_cat,0.09676357840988677,0.0031633256119043317,1.3686441807849992e-07,5,0.1032769095666041,0.09025024725316944
vae_recon_error,0.08859855456049834,0.001431461423638424,8.174141516133592e-09,5,0.09154595341666928,0.0856511557043274
z13,0.0809159475538244,0.003619009299636024,4.7890139020385e-07,5,0.08836753772179917,0.07346435738584964
z12,0.0686067857495342,0.002489775819598653,2.0777423696125034e-07,5,0.07373326857444669,0.06348030292462171
z15,0.050350318327471125,0.0032440584104985316,2.056492143246648e-06,5,0.057029879432339774,0.043670757222602476
z17,0.047951440215869875,0.0033551533914309003,2.85755439669551e-06,5,0.05485974742197408,0.04104313300976567
z14,0.042521532628854074,0.0030075695581138584,2.9834375344054998e-06,5,0.04871415991803938,0.03632890533966877
z22,0.042040246536538706,0.00037706049233788793,7.764576445546268e-10,5,0.04281661930179226,0.04126387377128515
z24,0.04071164899542823,0.002634396013481439,2.0922325501968765e-06,5,0.04613590679840887,0.03528739119244759
z4,0.03911807831723098,0.0021030052513576567,9.985294769991946e-07,5,0.0434481951963979,0.034787961438064056
z23,0.03439137139657209,0.0009192119578644818,6.118322607917205e-08,5,0.036284041522674476,0.03249870127046971
z19,0.03434668793783591,0.000727161333799518,2.4093805359577187e-08,5,0.03584392317456682,0.032849452701104995
z10,0.0328925355947101,0.0019093963355835432,1.3565237560081716e-06,5,0.036824009040338536,0.02896106214908167
z2,0.032009141974354095,0.0016492903474128809,8.428257756275773e-07,5,0.03540505359529233,0.028613230353415862
z5,0.029335555886166077,0.0013679326632583446,5.657242220447137e-07,5,0.03215214814665366,0.026518963625678495
z20,0.02822893420119026,0.001008618762561538,1.952417124721897e-07,5,0.030305694173897245,0.026152174228483274
z8,0.028224074714740467,0.0009319486251107639,1.4244237261190258e-07,5,0.030142969814742394,0.02630517961473854
z11,0.026749819141505073,0.0016873855714031889,1.889968351776255e-06,5,0.0302241693551713,0.023275468927838844
z18,0.024999454350988826,0.001228460582171793,6.974403574502935e-07,5,0.02752887166881018,0.02247003703316747
z21,0.02471627668440284,0.001046153052706009,3.8423176765637313e-07,5,0.02687032027929631,0.022562233089509366
z1,0.024694331536003488,0.00095929446460773,2.7272601460835577e-07,5,0.026669532097489335,0.02271913097451764
z3,0.023687028095052586,0.0013508870118848707,1.2639619656813593e-06,5,0.026468523123766248,0.020905533066338924
z6,0.023568606327390884,0.0009618776656072827,3.3217055421669277e-07,5,0.02554912573543844,0.021588086919343327
z7,0.022560153466336486,0.0008320674960828262,2.21646049381546e-07,5,0.024273391941165977,0.020846914991506996
z16,0.022329097147554423,0.0008516846687303962,2.534953177363581e-07,5,0.0240827276520034,0.020575466643105444
