,importance,stddev,p_value,n,p99_high,p99_low
year_cat,0.04563949770107147,0.0037807046351330175,5.599453102618081e-06,5,0.053424020799701585,0.03785497460244136
rd_intensity,0.006369403479572644,0.0006894350214119324,1.6218304056862753e-05,5,0.007788959717664464,0.0049498472414808235
vol_60m,0.004706607698196641,0.001156091597513599,0.0004037979967953988,5,0.007087016276361109,0.0023261991200321727
acct_mom_log_mkvalt,0.0030833653962425434,0.00024795791398219547,4.975739265251465e-06,5,0.0035939141682744605,0.0025728166242106262
expvol_ann_return,0.0023368884603144568,0.0003166073329571619,3.9460115099185986e-05,5,0.0029887873348516335,0.00168498958577728
rental_ratio,0.0023259700502831883,0.00010975603718582783,5.931850432376114e-07,5,0.0025519592478384537,0.002099980852727923
interact_ret_vix,0.002312019485870187,0.0005098700682924951,0.0002663199307543204,5,0.0033618490036376857,0.0012621899681026889
expvol_reinvest_rate,0.0021802201801123912,3.781786886345495e-05,1.0859099796515826e-08,5,0.00225808769480074,0.0021023526654240423
max_dd_60m,0.002100921107403564,0.00036664696336228083,0.00010693043355274584,5,0.002855852272566072,0.0013459899422410557
expmean_rental_ratio,0.002093188140672475,0.00020937070450716765,1.1853332876338537e-05,5,0.0025242853150633975,0.0016620909662815528
roll_trend_5y_log_at,0.0020731871032474646,0.00038088695587574464,0.0001307720840734038,5,0.0028574386098128074,0.0012889355966821218
altman_z2,0.001964475940441246,0.00012690614547163374,2.0783195128331765e-06,5,0.0022257774479966727,0.0017031744328858194
expmean_capex_intensity,0.001954231390436445,0.00023807113668894824,2.5915465576232706e-05,5,0.002444423151371782,0.0014640396295011082
expmean_altman_z2,0.001896190402738407,0.0002180331120143822,2.061226808723296e-05,5,0.002345123593913879,0.0014472572115629347
roll_min_5y_gross_margin,0.0018591509494674473,7.94357917828506e-05,3.989616621615102e-07,5,0.002022710342667656,0.0016955915562672386
unrate,0.001722535455046903,0.00023932112122642955,4.3584990920162536e-05,5,0.0022153009514215365,0.0012297699586722695
expmean_dd1_ratio,0.0015908996981783608,0.0002166742452227376,4.028781180134132e-05,5,0.002037034963848302,0.0011447644325084199
expmean_ni_per_emp,0.0014781966435502224,0.00017270382207810163,2.1958212197703838e-05,5,0.0018337962002295256,0.0011225970868709192
mom_24m,0.001473532282768719,0.00020689478488097938,4.5437087319790794e-05,5,0.0018995315044284737,0.0010475330611089645
expmean_quick_ratio,0.0014697162229026616,0.00017210244697969342,2.2156274527645665e-05,5,0.0018240775399424552,0.001115354905862868
capex_intensity,0.00144840991846924,0.0003446796156101008,0.0003574183809908329,5,0.0021581100109889974,0.0007387098259494826
expmean_assets_per_emp,0.001445796234160679,0.0001270888891052471,7.091239172713571e-06,5,0.001707474013383501,0.001184118454937857
roll_min_3y_gross_margin,0.0014354244505032422,0.00016930573478937845,2.279992763018318e-05,5,0.0017840272984885068,0.0010868216025179775
expmean_log_emp,0.0014046977246915393,0.0001141014505299376,5.178492499418772e-06,5,0.0016396341883823215,0.001169761261000757
assets_per_emp,0.0013596989504958135,0.00035989932782042055,0.0005377941250262259,5,0.002100736640815397,0.0006186612601762299
